Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:27:32.858,Quaker Bot Fast Strafes,LG,7.957s,174,50,0.287,300,1044,0.287,false
2,08:27:42.114,Quaker Bot Fast Strafes,LG,8.997s,161,50,0.311,300,966,0.311,false
3,08:27:50.129,Quaker Bot Fast Strafes,LG,6.164s,135,50,0.37,300,810,0.37,false
4,08:28:02.194,Quaker Bot Fast Strafes,LG,11.792s,224,50,0.223,300,1344,0.223,false
5,08:28:12.706,Quaker Bot Fast Strafes,LG,10.236s,187,50,0.267,300,1122,0.267,false
6,08:28:23.933,Quaker Bot Fast Strafes,LG,9.291s,203,50,0.246,300,1218,0.246,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1084,300,1800.0,6504.0,

Kills:,6
Deaths:,0
Fight Time:,54.437
Avg TTK:,0
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1494.464966
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.1
Challenge Start:,08:27:24.211

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.489197
Resolution Scale,100.0
