Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:37:40.761,Quaker Bot Fast Strafes,LG,10.394s,227,50,0.22,300,1362,0.22,false
2,19:37:52.443,Quaker Bot Fast Strafes,LG,11.405s,214,50,0.234,300,1284,0.234,false
3,19:38:06.545,Quaker Bot Fast Strafes,LG,12.189s,266,50,0.188,300,1596,0.188,false
4,19:38:20.977,Quaker Bot Fast Strafes,LG,14.156s,273,50,0.183,300,1638,0.183,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1132,226,1356.0,6792.0,

Kills:,4
Deaths:,0
Fight Time:,48.144001
Avg TTK:,15
Damage Done:,1356.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,812.162537
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
