Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:34:14.571,Quaker Bot Fast Strafes,LG,9.107s,199,50,0.251,300,1194,0.251,false
2,19:34:29.179,Quaker Bot Fast Strafes,LG,12.742s,278,50,0.18,300,1668,0.18,false
3,19:34:42.800,Quaker Bot Fast Strafes,LG,11.544s,252,50,0.198,300,1512,0.198,false
4,19:34:52.252,Quaker Bot Fast Strafes,LG,9.176s,167,50,0.299,300,1002,0.299,false
5,19:35:04.038,Quaker Bot Fast Strafes,LG,9.934s,217,50,0.23,300,1302,0.23,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1114,250,1500.0,6684.0,

Kills:,5
Deaths:,0
Fight Time:,52.502998
Avg TTK:,12
Damage Done:,1500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1009.874329
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
