Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:08:53.195,Quaker Bot Fast Strafes,LG,13.938s,304,50,0.164,300,1824,0.164,false
2,19:09:04.466,Quaker Bot Fast Strafes,LG,10.998s,205,50,0.244,300,1230,0.244,false
3,19:09:14.730,Quaker Bot Fast Strafes,LG,9.988s,185,50,0.27,300,1110,0.27,false
4,19:09:28.715,Quaker Bot Fast Strafes,LG,13.708s,265,50,0.189,300,1590,0.189,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1131,236,1416.0,6786.0,

Kills:,4
Deaths:,0
Fight Time:,48.632
Avg TTK:,15
Damage Done:,1416.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,886.408447
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
