Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:28:52.204,Quaker Bot Long Strafes,LG,5.473s,120,50,0.417,300,720,0.417,false
2,19:29:00.270,Quaker Bot Long Strafes,LG,7.792s,134,50,0.373,300,804,0.373,false
3,19:29:07.591,Quaker Bot Long Strafes,LG,5.242s,115,50,0.435,300,690,0.435,false
4,19:29:17.008,Quaker Bot Long Strafes,LG,7.267s,159,50,0.314,300,954,0.314,false
5,19:29:26.863,Quaker Bot Long Strafes,LG,7.545s,165,50,0.303,300,990,0.303,false
6,19:29:36.020,Quaker Bot Long Strafes,LG,6.852s,150,50,0.333,300,900,0.333,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1017,350,2100.0,6102.0,

Kills:,7
Deaths:,0
Fight Time:,49.834999
Avg TTK:,8.571
Damage Done:,2100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2168.141602
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
