Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:28:05.970,Quaker Bot Fast Strafes,LG,9.842s,215,50,0.233,300,1290,0.233,false
2,12:28:18.691,Quaker Bot Fast Strafes,LG,10.947s,239,50,0.209,300,1434,0.209,false
3,12:28:29.480,Quaker Bot Fast Strafes,LG,8.785s,192,50,0.26,300,1152,0.26,false
4,12:28:42.019,Quaker Bot Fast Strafes,LG,10.579s,231,50,0.216,300,1386,0.216,false
5,12:28:52.011,Quaker Bot Fast Strafes,LG,9.719s,177,50,0.282,300,1062,0.282,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1093,261,1566.0,6558.0,

Kills:,5
Deaths:,0
Fight Time:,49.872002
Avg TTK:,0
Damage Done:,1566.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1121.846313
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.1
Challenge Start:,12:27:55.442

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.801117
Resolution Scale,100.0
