Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:03:21.877,target,BB Gun,0s,1,1,1,1,1,1,false
2,10:03:22.390,target,BB Gun,0s,1,1,1,1,1,1,false
3,10:03:23.549,target,BB Gun,0.612s,2,1,0.5,1,2,0.5,false
4,10:03:23.942,target,BB Gun,0s,1,1,1,1,1,1,false
5,10:03:24.392,target,BB Gun,0s,1,1,1,1,1,1,false
6,10:03:24.909,target,BB Gun,0s,1,1,1,1,1,1,false
7,10:03:25.602,target,BB Gun,0.433s,2,1,0.5,1,2,0.5,false
8,10:03:25.903,target,BB Gun,0s,1,1,1,1,1,1,false
9,10:03:26.620,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,10:03:26.940,target,BB Gun,0s,1,1,1,1,1,1,false
11,10:03:27.586,target,BB Gun,0.28s,2,1,0.5,1,2,0.5,false
12,10:03:28.349,target,BB Gun,0s,1,1,1,1,1,1,false
13,10:03:29.023,target,BB Gun,0s,1,1,1,1,1,1,false
14,10:03:29.462,target,BB Gun,0s,1,1,1,1,1,1,false
15,10:03:29.789,target,BB Gun,0s,1,1,1,1,1,1,false
16,10:03:30.603,target,BB Gun,0.471s,2,1,0.5,1,2,0.5,false
17,10:03:30.930,target,BB Gun,0s,1,1,1,1,1,1,false
18,10:03:31.367,target,BB Gun,0s,1,1,1,1,1,1,false
19,10:03:31.913,target,BB Gun,0s,1,1,1,1,1,1,false
20,10:03:32.360,target,BB Gun,0s,1,1,1,1,1,1,false
21,10:03:32.881,target,BB Gun,0s,1,1,1,1,1,1,false
22,10:03:33.788,target,BB Gun,0.244s,2,1,0.5,1,2,0.5,false
23,10:03:34.275,target,BB Gun,0s,1,1,1,1,1,1,false
24,10:03:34.883,target,BB Gun,0s,1,1,1,1,1,1,false
25,10:03:35.343,target,BB Gun,0s,1,1,1,1,1,1,false
26,10:03:35.769,target,BB Gun,0s,1,1,1,1,1,1,false
27,10:03:36.293,target,BB Gun,0s,1,1,1,1,1,1,false
28,10:03:36.819,target,BB Gun,0s,1,1,1,1,1,1,false
29,10:03:37.256,target,BB Gun,0s,1,1,1,1,1,1,false
30,10:03:37.960,target,BB Gun,0s,1,1,1,1,1,1,false
31,10:03:38.434,target,BB Gun,0s,1,1,1,1,1,1,false
32,10:03:39.137,target,BB Gun,0.223s,2,1,0.5,1,2,0.5,false
33,10:03:39.788,target,BB Gun,0.357s,2,1,0.5,1,2,0.5,false
34,10:03:40.135,target,BB Gun,0s,1,1,1,1,1,1,false
35,10:03:40.945,target,BB Gun,0.393s,2,1,0.5,1,2,0.5,false
36,10:03:41.319,target,BB Gun,0s,1,1,1,1,1,1,false
37,10:03:41.599,target,BB Gun,0s,1,1,1,1,1,1,false
38,10:03:42.482,target,BB Gun,0.493s,2,1,0.5,1,2,0.5,false
