Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:29:37.474,Quaker Bot Fast Strafes,LG,7.587s,166,50,0.301,300,996,0.301,false
2,12:29:43.728,Quaker Bot Fast Strafes,LG,5.98s,97,50,0.515,300,582,0.515,false
3,12:29:53.875,Quaker Bot Fast Strafes,LG,8.187s,179,50,0.279,300,1074,0.279,false
4,12:30:03.067,Quaker Bot Fast Strafes,LG,7.31s,160,50,0.312,300,960,0.312,false
5,12:30:10.725,Quaker Bot Fast Strafes,LG,5.702s,125,50,0.4,300,750,0.4,false
6,12:30:19.715,Quaker Bot Fast Strafes,LG,7.037s,154,50,0.325,300,924,0.325,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1052,349,2094.0,6312.0,

Kills:,6
Deaths:,0
Fight Time:,41.803001
Avg TTK:,0
Damage Done:,2094.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2084.047607
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.2
Challenge Start:,12:29:29.168

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.153778
Resolution Scale,100.0
