Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:00:14.357,Quaker Bot Long Strafes,LG,6.3s,138,50,0.362,300,828,0.362,false
2,19:00:23.207,Quaker Bot Long Strafes,LG,8.574s,152,50,0.329,300,912,0.329,false
3,19:00:29.992,Quaker Bot Long Strafes,LG,4.783s,105,50,0.476,300,630,0.476,false
4,19:00:36.928,Quaker Bot Long Strafes,LG,4.967s,109,50,0.459,300,654,0.459,false
5,19:00:44.549,Quaker Bot Long Strafes,LG,5.61s,123,50,0.407,300,738,0.407,false
6,19:00:52.061,Quaker Bot Long Strafes,LG,7.275s,123,50,0.407,300,738,0.407,false
7,19:01:00.665,Quaker Bot Long Strafes,LG,6.532s,143,50,0.35,300,858,0.35,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,998,388,2328.0,5988.0,

Kills:,7
Deaths:,0
Fight Time:,44.041
Avg TTK:,8.571
Damage Done:,2328.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2715.222412
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
