Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:27:36.817,Quaker Bot Fast Strafes,LG,6.667s,146,50,0.342,300,876,0.342,false
2,21:27:47.910,Quaker Bot Fast Strafes,LG,9.059s,198,50,0.253,300,1188,0.253,false
3,21:27:57.532,Quaker Bot Fast Strafes,LG,9.366s,170,50,0.294,300,1020,0.294,false
4,21:28:06.758,Quaker Bot Fast Strafes,LG,7.358s,161,50,0.311,300,966,0.311,false
5,21:28:19.933,Quaker Bot Fast Strafes,LG,11.222s,245,50,0.204,300,1470,0.204,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1090,299,1794.0,6540.0,

Kills:,5
Deaths:,0
Fight Time:,43.672001
Avg TTK:,0
Damage Done:,1794.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1476.346802
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.2
Challenge Start:,21:27:29.378

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.575958
Resolution Scale,100.0
