Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:32:40.199,Quaker Bot Long Strafes,LG,6.577s,144,50,0.347,300,864,0.347,false
2,12:32:49.113,Quaker Bot Long Strafes,LG,8.638s,156,50,0.321,300,936,0.321,false
3,12:32:58.650,Quaker Bot Long Strafes,LG,9.261s,170,50,0.294,300,1020,0.294,false
4,12:33:10.451,Quaker Bot Long Strafes,LG,11.525s,219,50,0.228,300,1314,0.228,false
5,12:33:22.686,Quaker Bot Long Strafes,LG,11.961s,229,50,0.218,300,1374,0.218,false
6,12:33:32.163,Quaker Bot Long Strafes,LG,9.2s,169,50,0.296,300,1014,0.296,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1088,300,1800.0,6528.0,

Kills:,6
Deaths:,0
Fight Time:,57.161999
Avg TTK:,10
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1488.970581
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
