Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:39:36.477,Quaker Bot Long Strafes,LG,5.977s,131,50,0.382,300,786,0.382,false
2,12:39:43.944,Quaker Bot Long Strafes,LG,5.61s,123,50,0.407,300,738,0.407,false
3,12:39:50.418,Quaker Bot Long Strafes,LG,4.507s,99,50,0.505,300,594,0.505,false
4,12:39:57.020,Quaker Bot Long Strafes,LG,4.736s,104,50,0.481,300,624,0.481,false
5,12:40:05.450,Quaker Bot Long Strafes,LG,6.531s,143,50,0.35,300,858,0.35,false
6,12:40:13.404,Quaker Bot Long Strafes,LG,5.977s,131,50,0.382,300,786,0.382,false
7,12:40:20.464,Quaker Bot Long Strafes,LG,5.104s,112,50,0.446,300,672,0.446,false
8,12:40:28.794,Quaker Bot Long Strafes,LG,6.394s,140,50,0.357,300,840,0.357,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,983,400,2400.0,5898.0,

Kills:,8
Deaths:,0
Fight Time:,44.835999
Avg TTK:,0
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2929.806641
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.1
Challenge Start:,12:39:29.806

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.806335
Resolution Scale,100.0
