Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:28:48.246,Quaker Bot Fast Strafes,LG,5.195s,114,50,0.439,300,684,0.439,false
2,08:28:55.477,Quaker Bot Fast Strafes,LG,5.244s,115,50,0.435,300,690,0.435,false
3,08:29:03.838,Quaker Bot Fast Strafes,LG,6.529s,143,50,0.35,300,858,0.35,false
4,08:29:13.678,Quaker Bot Fast Strafes,LG,7.956s,174,50,0.287,300,1044,0.287,false
5,08:29:22.626,Quaker Bot Fast Strafes,LG,8.702s,157,50,0.318,300,942,0.318,false
6,08:29:31.344,Quaker Bot Fast Strafes,LG,6.667s,146,50,0.342,300,876,0.342,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1053,345,2070.0,6318.0,

Kills:,6
Deaths:,0
Fight Time:,40.292999
Avg TTK:,0
Damage Done:,2070.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2034.615356
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.1
Challenge Start:,08:28:42.398

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.352081
Resolution Scale,100.0
