Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:11:02.487,Quaker Bot Long Strafes,LG,6.944s,152,50,0.329,300,912,0.329,false
2,19:11:09.244,Quaker Bot Long Strafes,LG,6.508s,106,50,0.472,300,636,0.472,false
3,19:11:16.712,Quaker Bot Long Strafes,LG,5.611s,123,50,0.407,300,738,0.407,false
4,19:11:22.959,Quaker Bot Long Strafes,LG,4.414s,97,50,0.515,300,582,0.515,false
5,19:11:30.034,Quaker Bot Long Strafes,LG,5.197s,114,50,0.439,300,684,0.439,false
6,19:11:36.261,Quaker Bot Long Strafes,LG,5.95s,96,50,0.521,300,576,0.521,false
7,19:11:44.869,Quaker Bot Long Strafes,LG,8.341s,146,50,0.342,300,876,0.342,false
8,19:11:53.353,Quaker Bot Long Strafes,LG,6.577s,144,50,0.347,300,864,0.347,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,979,400,2400.0,5874.0,

Kills:,8
Deaths:,0
Fight Time:,49.542
Avg TTK:,0
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2941.777344
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.1
Challenge Start:,19:10:54.663

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.860565
Resolution Scale,100.0
