Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:29:01.868,Quaker Bot Fast Strafes,LG,10.761s,235,50,0.213,300,1410,0.213,false
2,10:29:12.022,Quaker Bot Fast Strafes,LG,9.878s,179,50,0.279,300,1074,0.279,false
3,10:29:22.303,Quaker Bot Fast Strafes,LG,8.277s,181,50,0.276,300,1086,0.276,false
4,10:29:33.902,Quaker Bot Fast Strafes,LG,11.472s,215,50,0.233,300,1290,0.233,false
5,10:29:44.693,Quaker Bot Fast Strafes,LG,8.786s,192,50,0.26,300,1152,0.26,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1093,278,1668.0,6558.0,

Kills:,5
Deaths:,0
Fight Time:,49.174
Avg TTK:,0
Damage Done:,1668.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1272.746582
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.2
Challenge Start:,10:28:50.429

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.819305
Resolution Scale,100.0
