Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:37:59.539,Quaker Bot Long Strafes,LG,9.151s,200,50,0.25,300,1200,0.25,false
2,12:38:11.940,Quaker Bot Long Strafes,LG,12.125s,226,50,0.221,300,1356,0.221,false
3,12:38:28.540,Quaker Bot Long Strafes,LG,16.323s,319,50,0.157,300,1914,0.157,false
4,12:38:38.474,Quaker Bot Long Strafes,LG,9.657s,168,50,0.298,300,1008,0.298,false
5,12:38:48.483,Quaker Bot Long Strafes,LG,9.733s,179,50,0.279,300,1074,0.279,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1093,250,1500.0,6558.0,

Kills:,5
Deaths:,0
Fight Time:,56.988998
Avg TTK:,12
Damage Done:,1500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,4500.0
Scenario:,Close Long Strafes
Hash:,83561ba3083cb7b6cb2b283139537f55
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
