Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:15:01.526,Quaker Bot Long Strafes,LG,4.645s,102,50,0.49,300,612,0.49,false
2,08:15:07.557,Quaker Bot Long Strafes,LG,5.757s,93,50,0.538,300,558,0.538,false
3,08:15:14.646,Quaker Bot Long Strafes,LG,5.104s,112,50,0.446,300,672,0.446,false
4,08:15:23.701,Quaker Bot Long Strafes,LG,7.174s,157,50,0.318,300,942,0.318,false
5,08:15:31.042,Quaker Bot Long Strafes,LG,7.065s,120,50,0.417,300,720,0.417,false
6,08:15:38.364,Quaker Bot Long Strafes,LG,5.518s,121,50,0.413,300,726,0.413,false
7,08:15:44.561,Quaker Bot Long Strafes,LG,4.321s,95,50,0.526,300,570,0.526,false
8,08:15:51.391,Quaker Bot Long Strafes,LG,6.551s,112,50,0.446,300,672,0.446,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,975,428,2568.0,5850.0,

Kills:,8
Deaths:,0
Fight Time:,46.134998
Avg TTK:,0
Damage Done:,2568.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3381.858398
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.1
Challenge Start:,08:14:55.805

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.31015
Resolution Scale,100.0
