Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:13:35.697,Thin very long strafe,Track Master 100,8.126s,814,200,0.246,200,814,0.246,false
2,09:13:47.520,Thin very long strafe,Track Master 100,11.572s,953,200,0.21,200,953,0.21,false
3,09:14:01.651,Thin very long strafe,Track Master 100,13.871s,1162,200,0.172,200,1162,0.172,false
4,09:14:13.039,Thin very long strafe,Track Master 100,11.131s,870,200,0.23,200,870,0.23,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4841,967,967.0,4841.0,

Kills:,4
Deaths:,0
Fight Time:,44.700001
Avg TTK:,0
Damage Done:,967.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,967.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,2.0.3.1
Challenge Start:,09:13:26.342

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,292.85498
Resolution Scale,100.0
