Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:04:46.421,Quaker Bot Long Strafes,LG,6.622s,145,50,0.345,300,870,0.345,false
2,10:04:54.901,Quaker Bot Long Strafes,LG,6.483s,142,50,0.352,300,852,0.352,false
3,10:05:02.208,Quaker Bot Long Strafes,LG,5.289s,116,50,0.431,300,696,0.431,false
4,10:05:10.043,Quaker Bot Long Strafes,LG,5.931s,130,50,0.385,300,780,0.385,false
5,10:05:16.487,Quaker Bot Long Strafes,LG,4.644s,102,50,0.49,300,612,0.49,false
6,10:05:23.249,Quaker Bot Long Strafes,LG,4.875s,107,50,0.467,300,642,0.467,false
7,10:05:31.329,Quaker Bot Long Strafes,LG,6.116s,134,50,0.373,300,804,0.373,false
8,10:05:38.168,Quaker Bot Long Strafes,LG,4.922s,108,50,0.463,300,648,0.463,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,984,400,2400.0,5904.0,

Kills:,8
Deaths:,0
Fight Time:,44.882
Avg TTK:,0
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2926.829346
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.2
Challenge Start:,10:04:38.856

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.73642
Resolution Scale,100.0
