Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:49:40.701,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,20:49:42.261,test,pistol,0.884s,2,1,0.5,1000,4000,0.25,false
3,20:49:42.772,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,20:49:43.538,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
5,20:49:45.675,test,pistol,1.225s,3,1,0.333,1000,6000,0.167,false
6,20:49:46.270,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,20:49:49.509,test,pistol,2.504s,5,1,0.2,1000,10000,0.1,false
8,20:49:50.441,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,20:49:51.052,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,20:49:54.255,test,pistol,2.869s,5,1,0.2,1000,10000,0.1,false
11,20:49:54.770,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,20:49:55.734,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,20:49:57.506,test,pistol,1.21s,3,1,0.333,1000,6000,0.167,false
14,20:49:58.045,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,20:50:03.827,test,pistol,5.248s,6,1,0.167,1000,12000,0.083,false
16,20:50:07.286,test,pistol,2.783s,4,1,0.25,1000,8000,0.125,false
17,20:50:08.115,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,20:50:09.282,test,pistol,0.614s,2,1,0.5,1000,4000,0.25,false
19,20:50:09.730,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,20:50:10.277,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,20:50:11.398,test,pistol,0.595s,2,1,0.5,1000,4000,0.25,false
22,20:50:12.678,test,pistol,0.786s,2,1,0.5,1000,4000,0.25,false
23,20:50:13.784,test,pistol,0.575s,2,1,0.5,1000,4000,0.25,false
24,20:50:15.080,test,pistol,0.925s,2,1,0.5,1000,4000,0.25,false
25,20:50:17.067,test,pistol,0.45s,2,1,0.5,1000,4000,0.25,false
26,20:50:18.706,test,pistol,0.833s,2,1,0.5,1000,4000,0.25,false
27,20:50:20.769,test,pistol,1.475s,3,1,0.333,1000,6000,0.167,false
28,20:50:22.301,test,pistol,1.112s,3,1,0.333,1000,6000,0.167,false
29,20:50:23.236,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,20:50:25.025,test,pistol,0.562s,2,1,0.5,1000,4000,0.25,false
31,20:50:25.542,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,20:50:26.189,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,20:50:27.558,test,pistol,0.798s,2,1,0.5,1000,4000,0.25,false
34,20:50:29.830,test,pistol,1.631s,3,1,0.333,1000,6000,0.167,false
35,20:50:30.970,test,pistol,0.672s,2,1,0.5,1000,4000,0.25,false
36,20:50:32.026,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,20:50:35.085,test,pistol,2.356s,4,1,0.25,1000,8000,0.125,false
38,20:50:38.712,test,pistol,2.922s,5,1,0.2,1000,10000,0.1,false
39,20:50:39.704,test,pistol,0.516s,2,1,0.5,1000,4000,0.25,false
40,20:50:41.694,test,pistol,1.062s,3,1,0.333,1000,6000,0.167,false
41,20:50:42.327,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,20:50:43.686,test,pistol,1.025s,2,1,0.5,1000,4000,0.25,false
43,20:50:46.896,test,pistol,2.746s,3,1,0.333,1000,6000,0.167,false
44,20:50:49.638,test,pistol,1.464s,2,1,0.5,1000,4000,0.25,false
45,20:50:52.333,test,pistol,0.916s,2,1,0.5,1000,4000,0.25,false
46,20:50:54.537,test,pistol,1.145s,3,1,0.333,1000,6000,0.167,false
47,20:50:57.723,test,pistol,2.488s,5,1,0.2,1000,10000,0.1,false
48,20:50:58.999,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
49,20:51:00.805,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,20:51:03.885,test,pistol,2.428s,4,1,0.25,1000,8000,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,111,50,50000.0,222000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,50
Deaths:,0
Fight Time:,46.820999
Avg TTK:,1.714
Damage Done:,50000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,22.522522
Scenario:,1wall5targets_pasu
Hash:,a5be19c6e6aeb0d774c5e9d9fb497e91
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
