Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:35:21.505,Thin very long strafe,Track Master 100,9.428s,944,200,0.212,200,944,0.212,false
2,18:35:32.001,Thin very long strafe,Track Master 100,10.245s,847,200,0.236,200,847,0.236,false
3,18:35:42.906,Thin very long strafe,Track Master 100,10.655s,838,200,0.239,200,838,0.239,false
4,18:35:52.222,Thin very long strafe,Track Master 100,9.067s,711,200,0.281,200,711,0.281,false
5,18:36:03.085,Thin very long strafe,Track Master 100,10.613s,840,200,0.238,200,840,0.238,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4719,1124,1124.0,4719.0,

Kills:,5
Deaths:,0
Fight Time:,50.007999
Avg TTK:,12
Damage Done:,1124.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1124.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
