Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:20:19.995,Quaker Bot Long Strafes,LG,5.38s,118,50,0.424,300,708,0.424,false
2,10:20:26.826,Quaker Bot Long Strafes,LG,4.92s,108,50,0.463,300,648,0.463,false
3,10:20:32.983,Quaker Bot Long Strafes,LG,4.184s,92,50,0.543,300,552,0.543,false
4,10:20:40.785,Quaker Bot Long Strafes,LG,5.886s,129,50,0.388,300,774,0.388,false
5,10:20:48.206,Quaker Bot Long Strafes,LG,5.52s,121,50,0.413,300,726,0.413,false
6,10:20:55.198,Quaker Bot Long Strafes,LG,6.718s,110,50,0.455,300,660,0.455,false
7,10:21:00.718,Quaker Bot Long Strafes,LG,3.63s,80,50,0.625,300,480,0.625,false
8,10:21:08.184,Quaker Bot Long Strafes,LG,5.611s,123,50,0.407,300,738,0.407,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,959,420,2520.0,5754.0,

Kills:,8
Deaths:,0
Fight Time:,41.848999
Avg TTK:,0
Damage Done:,2520.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3310.948975
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.2
Challenge Start:,10:20:13.496

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.719727
Resolution Scale,100.0
