Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:41:52.804,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,12:41:53.181,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,12:41:53.921,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,12:41:54.922,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,12:41:55.590,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,12:41:57.272,test,pistol,1.105s,2,1,0.5,1000,4000,0.25,false
7,12:41:59.088,test,pistol,1.069s,2,1,0.5,1000,4000,0.25,false
8,12:42:00.336,test,pistol,0.404s,2,1,0.5,1000,4000,0.25,false
9,12:42:01.138,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,12:42:01.699,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,12:42:02.712,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,12:42:03.280,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,12:42:03.971,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
14,12:42:04.491,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,12:42:08.547,test,pistol,3.444s,4,1,0.25,1000,8000,0.125,false
16,12:42:11.846,test,pistol,1.763s,3,1,0.333,1000,6000,0.167,false
17,12:42:13.195,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
18,12:42:14.617,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,12:42:15.224,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,12:42:16.886,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
21,12:42:17.442,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,12:42:18.509,test,pistol,0.66s,2,1,0.5,1000,4000,0.25,false
23,12:42:18.896,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
24,12:42:20.893,test,pistol,0.573s,2,1,0.5,1000,4000,0.25,false
25,12:42:22.163,test,pistol,0.808s,2,1,0.5,1000,4000,0.25,false
26,12:42:23.944,test,pistol,1.434s,2,1,0.5,1000,4000,0.25,false
27,12:42:24.808,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
28,12:42:25.872,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
29,12:42:26.937,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,12:42:27.554,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,12:42:29.195,test,pistol,1.21s,3,1,0.333,1000,6000,0.167,false
32,12:42:30.625,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,12:42:31.212,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,12:42:32.544,test,pistol,0.508s,2,1,0.5,1000,4000,0.25,false
35,12:42:33.024,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,12:42:34.146,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,12:42:35.630,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,12:42:37.141,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
39,12:42:39.303,test,pistol,1.229s,3,1,0.333,1000,6000,0.167,false
40,12:42:42.770,test,pistol,2.196s,4,1,0.25,1000,8000,0.125,false
41,12:42:43.822,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,12:42:44.762,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,12:42:46.219,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,12:42:48.025,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,12:42:49.048,test,pistol,0.28s,2,1,0.5,1000,4000,0.25,false
46,12:42:50.132,test,pistol,0.523s,2,1,0.5,1000,4000,0.25,false
47,12:42:50.965,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,12:42:52.441,test,pistol,1.123s,2,1,0.5,1000,4000,0.25,false
49,12:42:53.165,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,12:42:55.139,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
51,12:42:56.434,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
52,12:42:56.981,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,12:42:57.688,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
54,12:42:59.138,test,pistol,0.877s,2,1,0.5,1000,4000,0.25,false
55,12:42:59.638,test,pistol,0s,1,1,1,1000,2000,0.5,false
56,12:43:01.113,test,pistol,0.858s,2,1,0.5,1000,4000,0.25,false
57,12:43:03.351,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,12:43:03.781,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,12:43:05.656,test,pistol,1.364s,2,1,0.5,1000,4000,0.25,false
60,12:43:06.440,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,12:43:07.764,test,pistol,0.79s,2,1,0.5,1000,4000,0.25,false
62,12:43:09.189,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,12:43:14.368,test,pistol,4.177s,3,1,0.333,1000,6000,0.167,false
64,12:43:15.083,test,pistol,0s,1,1,1,1000,2000,0.5,false
65,12:43:16.268,test,pistol,0s,1,1,1,1000,2000,0.5,false
66,12:43:16.941,test,pistol,0s,1,1,1,1000,2000,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,96,66,66000.0,192000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,66
Deaths:,0
Fight Time:,26.405001
Avg TTK:,0
Damage Done:,66000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,45.375
Scenario:,1wall5targets_pasu
Hash:,a5be19c6e6aeb0d774c5e9d9fb497e91
Game Version:,2.0.3.1
Challenge Start:,12:41:51.883

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
