Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:33:31.671,Quaker Bot Long Strafes,LG,4.827s,106,50,0.472,300,636,0.472,false
2,19:33:40.089,Quaker Bot Long Strafes,LG,6.484s,142,50,0.352,300,852,0.352,false
3,19:33:46.983,Quaker Bot Long Strafes,LG,4.874s,107,50,0.467,300,642,0.467,false
4,19:33:54.129,Quaker Bot Long Strafes,LG,5.196s,114,50,0.439,300,684,0.439,false
5,19:34:02.354,Quaker Bot Long Strafes,LG,6.3s,138,50,0.362,300,828,0.362,false
6,19:34:09.918,Quaker Bot Long Strafes,LG,5.426s,119,50,0.42,300,714,0.42,false
7,19:34:17.825,Quaker Bot Long Strafes,LG,5.794s,127,50,0.394,300,762,0.394,false
8,19:34:25.013,Quaker Bot Long Strafes,LG,5.15s,113,50,0.442,300,678,0.442,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,967,400,2400.0,5802.0,

Kills:,8
Deaths:,0
Fight Time:,44.050999
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2978.283203
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
