Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:28:45.774,Quaker Bot Long Strafes,LG,8.554s,187,50,0.267,300,1122,0.267,false
2,19:28:52.832,Quaker Bot Long Strafes,LG,6.782s,108,50,0.463,300,648,0.463,false
3,19:29:00.860,Quaker Bot Long Strafes,LG,7.752s,132,50,0.379,300,792,0.379,false
4,19:29:13.061,Quaker Bot Long Strafes,LG,11.924s,225,50,0.222,300,1350,0.222,false
5,19:29:22.241,Quaker Bot Long Strafes,LG,7.174s,157,50,0.318,300,942,0.318,false
6,19:29:34.142,Quaker Bot Long Strafes,LG,11.625s,218,50,0.229,300,1308,0.229,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1032,304,1824.0,6192.0,

Kills:,6
Deaths:,0
Fight Time:,53.811001
Avg TTK:,10
Damage Done:,1824.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1611.906982
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
