Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:32:48.812,Quaker Bot Long Strafes,LG,5.977s,131,50,0.382,300,786,0.382,false
2,18:32:56.436,Quaker Bot Long Strafes,LG,7.348s,127,50,0.394,300,762,0.394,false
3,18:33:04.677,Quaker Bot Long Strafes,LG,7.965s,138,50,0.362,300,828,0.362,false
4,18:33:13.148,Quaker Bot Long Strafes,LG,8.195s,145,50,0.345,300,870,0.345,false
5,18:33:22.392,Quaker Bot Long Strafes,LG,8.968s,160,50,0.312,300,960,0.312,false
6,18:33:31.766,Quaker Bot Long Strafes,LG,9.098s,163,50,0.307,300,978,0.307,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1053,350,2100.0,6318.0,

Kills:,7
Deaths:,0
Fight Time:,57.776001
Avg TTK:,8.571
Damage Done:,2100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2094.01709
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
