Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:57:31.093,Quaker Bot Fast Strafes,LG,11.911s,260,50,0.192,300,1560,0.192,false
2,08:57:43.185,Quaker Bot Fast Strafes,LG,11.842s,223,50,0.224,300,1338,0.224,false
3,08:57:57.256,Quaker Bot Fast Strafes,LG,12.051s,263,50,0.19,300,1578,0.19,false
4,08:58:09.041,Quaker Bot Fast Strafes,LG,9.841s,215,50,0.233,300,1290,0.233,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1124,231,1386.0,6744.0,

Kills:,4
Deaths:,0
Fight Time:,45.645
Avg TTK:,15
Damage Done:,1386.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,854.535583
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
