Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:36:36.647,Quaker Bot Fast Strafes,LG,6.759s,148,50,0.338,300,888,0.338,false
2,21:36:44.646,Quaker Bot Fast Strafes,LG,7.756s,136,50,0.368,300,816,0.368,false
3,21:36:54.792,Quaker Bot Fast Strafes,LG,8.23s,180,50,0.278,300,1080,0.278,false
4,21:37:03.546,Quaker Bot Fast Strafes,LG,6.851s,150,50,0.333,300,900,0.333,false
5,21:37:14.189,Quaker Bot Fast Strafes,LG,8.785s,192,50,0.26,300,1152,0.26,false
6,21:37:21.940,Quaker Bot Fast Strafes,LG,5.842s,128,50,0.391,300,768,0.391,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1059,328,1968.0,6354.0,

Kills:,6
Deaths:,0
Fight Time:,44.223
Avg TTK:,0
Damage Done:,1968.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1828.623169
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.2
Challenge Start:,21:36:29.207

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.577728
Resolution Scale,100.0
